"X"	"Y"	"Store ID"	"Name"
-117.9996566772	33.8587112427	9474	"Target Buena Park T-2082"
-117.9557266235	33.6712265015	9476	"Target Huntington Beach T-2051"
-118.0292739868	33.8164482117	9506	"Valley View & Ball"
-118.0153045654	33.7440567017	9609	"Bolsa & Edwards"
-117.9548797607	33.7295913696	9667	"Albertsons-Fountain Vly #6157"
-117.8157577515	33.682559967	9700	"Albertsons-Irvine #6596"
-117.9875717163	33.7242202759	9789	"Pavillions - Westminster #2206"
-118.1168289185	33.8565597534	9815	"Pavilions-Lakewood #2209"
-117.842124939	33.6484260559	9845	"University of California-Irvine"
-118.0297775269	33.8320045471	9848	"Lincoln & Valley View"
-117.7504119873	33.6531257629	9876	"The Village Apartments"
-117.7930984497	33.7244262695	9947	"Tustin Marketplace"
-117.4543685913	33.9453620911	9959	"Van Buren & Arlington"
-117.9114761353	33.6725921631	9974	"Orange Coast College"
-117.6689300537	33.5797767639	10309	"Oso & I-5"
-117.4162826538	33.9457244873	10442	"Arlington & Streeter"
-117.9884490967	33.6878089905	10573	"Beach & Garfield"
-118.1004333496	33.7437286377	10593	"Von's-Seal Beach #2803"
-117.55859375	33.9001655579	10727	"Hidden Valley & The 15 Fwy"
-118.1133041382	33.7786445618	10891	"CSU Long Beach - Dining Plaza"
-117.5209350586	33.887348175	10946	"McKinley & Griffin"
-117.6686782837	33.6603279114	10960	"Lake Forest & Dimension"
-117.8874282837	33.9179992676	11004	"Target Brea T-2482"
-118.0284347534	33.7903823853	11234	"Vons-Garden Grove #2041"
-117.5902786255	33.6370811462	11262	"Pavilions -Rancho Santa Marg. #2217"
-117.9896087646	33.8469963074	11263	"La Palma & Dale"
-117.494644165	33.8989028931	11264	"Pierce & 91 Fwy"
-117.8871688843	33.8036384583	11310	"Katella & State College"
-117.3969955444	33.9464988708	11318	"Arlington & Brockton"
-117.8369064331	33.85414505	11346	"Tustin & 91 Fwy"
-117.9869155884	33.6771202087	11501	"Albertsons-Huntngtn Bch #6124"
-117.6100463867	33.4474601746	11519	"Albertsons-San Clemente #6563"
-117.7893981934	33.6715087891	11570	"Alton Pkwy & Jeffrey Rd"
-117.7384262085	33.6544532776	11571	"Alton & Technology"
-117.9984359741	33.8514862061	11629	"Beach Blvd & El Capitan Way"
-117.8663482666	33.8870697021	11787	"Yorba Linda & Bradford"
-117.9715957642	33.7163124084	11792	"Magnolia & Warner"
-118.0715713501	33.7821044922	11811	"Seal Beach Blvd. & St. Cloud"
-117.6324615479	33.5829124451	11813	"Oso & Antonio"
-118.0816040039	33.8462753296	11816	"Del Amo & Pioneer, Cerritos"
-117.6992111206	33.5904579163	11855	"Alicia Pkwy & Paseo De Valencia"
-118.0036010742	33.6796951294	11887	"Albertsons-Huntngtn Bch #6110"
-117.6794967651	33.6136436462	11956	"Alicia Pkwy & Jeronimo"
-118.0595397949	33.8710174561	11986	"Town Center Dr & Bloomfield"
-117.7101593018	33.5560760498	12052	"La Paz & Aliso Creek"
-117.833694458	33.7595481873	12055	"17th & Tustin"
-117.8918533325	33.7813262939	12061	"The Block at Orange First Floor"
-117.8501815796	33.6259536743	12077	"Vons-Newport Beach #1912"
-117.9611053467	33.9176445007	12120	"Imperial & South Idaho"
-117.8289413452	33.7600021362	12151	"17th & Yorba Street"
-117.8900527954	33.874835968	12154	"State College & Chapman"
-117.6513748169	33.4588279724	12164	"Camino De Los Mares & Calle Agua"
-117.6783447266	33.638469696	12179	"El Toro & Trabuco"
-118.049407959	33.9167289734	12220	"Imperial & Carmenita"
-118.1156997681	33.8580284119	12221	"South & Woodruff, Lakewood"
-118.0480957031	33.9397010803	12225	"Carmenita & Telegraph"
-117.9232788086	33.6202430725	12354	"W. Coast Hwy & Riverside"
-117.8147583008	33.7873878479	12409	"Chapman & Swidler"
-118.0905685425	33.8587875366	12416	"Gridley & South, Cerritos"
-117.8557434082	33.6867370605	12419	"MacArthur & Main"
-118.1235961914	33.9356803894	12429	"Firestone & Lakewood, Downey"
-117.9189987183	33.6816368103	12464	"Harbor & Baker"
-117.9308547974	33.9177246094	12503	"Imperial & Harbor"
-117.8698577881	33.748134613	12546	"4th & Broadway"
-117.7626190186	33.696231842	12608	"Jeffrey & Trabuco"
-117.7784500122	33.6543426514	12757	"Quail Hill & Shady Canyon"
-118.1157150269	33.8107376099	12823	"Pavilions-Long Beach #2203"
-118.0070114136	33.7720375061	12829	"Goldenwest & Natal"
-117.9151687622	33.788848877	13001	"Hyatt Regency Orange County"
-117.6462783813	33.5634841919	13277	"Albertsons - Mssn Viejo #6552"
-117.6141662598	33.4428634644	13278	"Albertsons-San Clemente #6509"
-117.9656143188	33.8785171509	13282	"Albertsons - Fullerton #6165"
-118.0079269409	33.8969802856	13289	"Albertsons-La Mirada #6148"
-117.5743942261	33.84349823	13292	"Albertsons-Corona #6727"
-117.7315673828	33.6084022522	13337	"El Toro Rd. & Calle Sonora"
-117.8541870117	33.6398162842	13407	"Bison & California"
-117.8676834106	33.7875938416	13422	"Chapman & Main"
