"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"6331843",-117.620502134,33.6468,2013,"3048","0","3","2","00",0,1,"A",,,"Y",,"Y",1800,12,"F","A","A","CALLE GAZAPO","LAS PATAS",0,,"Y","2014-05-15",3000,"2013-12-25",1500,"4591","892G2","5","4","0","0",,"0","168","-","N",,0,0,,,0,,,,"N",1,"D","-",0,,"N","A","H","-","A","D","0","Y","-","-",1,0,0,0,0,0,0,0,1,"-","-","RANCHO SANTA MARGARITA","ORANGE","CA",0,0
"6331855",-117.615272566,33.4431,2013,"3017","0","3","2","11",0,1,"A","Y",,,,"Y",2100,12,"G","B","D","E AVENIDA PICO","AVENIDA PRESIDIO",361,"E","N","2014-05-15",3000,"2013-12-18",1845,"5813","992H3","5","5","0","0",,"0","778","-","N",,0,0,,,0,,,,"N",2,"A","-",21955,,"N","A","H","-","C","D","0","Y","N","60",1,0,0,0,1,0,0,0,0,"-","-","SAN CLEMENTE","ORANGE","CA",0,0
"6331863",-117.625299265,33.4322,2013,"3017","0","7","2","03",0,2,"A",,,,,,600,12,"E","I","A","NORTH EL CAMINO REAL","AVENIDA FLORENCIA",255,"S","N","2014-05-15",3000,"2013-12-15",550,"2182","992H3","5","5","0","0",,"0","M76","-","N",,0,0,,,0,,,,"Y",1,"A","-",22350,,"N","A","H","-","C","D","0","Y","A","01",1,1,0,0,0,0,0,0,0,"-","-","SAN CLEMENTE","ORANGE","CA",0,0
"6331875",-117.712215065,33.5362,2013,"3040","0","5","2","01",0,1,"B",,,,,,2400,12,"E","I","A","BOBOLINK","KITE HILL DR S",146,"N","N","2014-05-15",3000,"2013-12-06",2150,"1916","950F3","5","5","0","0",,"0","746","-","N",,0,0,,,0,,,,"Y",2,"A","-",23152,"A","N","A","H","-","C","D","0","Y","A","01",1,0,0,0,0,0,0,0,0,"-","-","LAGUNA NIGUEL","ORANGE","CA",0,0
"6332297",-117.993452131,33.8247,2013,"3001","0","1","2","11",0,1,"A","Y",,,,,1800,12,"G","B","B","ORANGE AV","BEACH BL",0,"E","N","2014-05-27",3001,"2013-12-23",1753,"471",,"5","7","0","0",,"0","0D1","-","N",,0,0,,,0,,,,"N",2,"A","-",21456,"B","N","A","H","-","C","A","0","Y","N","60",1,0,0,0,1,0,0,0,0,"-","-","ANAHEIM","ORANGE","CA",0,0
"6335677",-117.889422223,33.8597,2013,"3008","0","7","2","09",0,1,"A",,,"Y",,,1800,12,"-","C","A","ORANGETHORPE AV","STATE COLLEGE BL",0,,"Y","2014-05-14",3008,"2013-12-08",1740,"1341",,"5","6","0","0",,"0","Z 3","-","N",,0,0,,,0,,,,"Y",2,"A","-",21801,"A","N","A","H","-","C","A","0","Y","A",,1,0,0,0,0,0,0,0,1,"-","-","FULLERTON","ORANGE","CA",0,0
"6335847",-117.972792205,33.7722,2013,"3009","0","6","2","05",0,1,"A",,"Y",,,"Y",2100,12,"G","G","A","MAGNOLIA ST","CANNERY ST",0,,"Y","2014-05-14",3009,"2013-12-21",1842,"3607","085","5","6","0","0",,"0","1 3","-","N",,0,0,,,0,,,,"Y",2,"A","-",21650,"1","N","A","H","-","C","A","0","Y","L","04",1,0,0,0,0,0,1,0,0,"-","-","GARDEN GROVE","ORANGE","CA",0,0
"6336988",-117.674315856,33.531,2013,"3018","1","3","2","07",0,1,"B",,,,,,900,12,"B","C","A","RT 5","JUNIPERO SERRA RD",4752,"N","N","2014-05-20",9690,"2013-12-18",630,"14919",,"1","4","0","1",,"2","057","-","Y",,0,0,,,0,,,,"Y",2,"A","-",21658,"A","F","A","H","-","B","D","0","Y","D","22",1,0,0,0,0,0,0,0,0,"-","-","SAN JUAN CAPISTRANO","ORANGE","CA",-117.67467,33.53217
"6339109",-117.994188755,33.8562,2013,"3003","3","6","2","03",0,2,"A",,,,,,1500,12,"C","C","A","RT 91","RT 39",1200,"E","N","2014-05-19",9670,"2013-12-28",1240,"017858",,"1","5","0","1",,"2","091","-","Y",,0,0,,,0,,,,"Y",3,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","01",1,0,1,0,0,0,0,0,0,"-","-","BUENA PARK","ORANGE","CA",-117.99477,33.85637
"6345445",-117.85171223,33.755,2013,"3019","1","1","2","03",0,1,"A",,,"Y",,,1800,12,"E","J","A","RT 5","GRAND AV",60,"S","N","2014-05-15",9675,"2013-12-30",1522,"16984",,"2","7","0","1",,"2","520","-","Y",,0,0,,,0,,,,"Y",1,"A","-",22350,,"N","A","H","-","A","D","0","Y","C","02",1,0,0,0,0,0,0,0,1,"-","-","SANTA ANA","ORANGE","CA",-117.65191,33.75481
"6346983",-117.701668693,33.5698,2013,"3040","3","3","2","03",0,1,"A",,,,,,300,12,"E","I","A","RT 73 ","MOULTON PKWY",538,"N","N","2014-05-20",9690,"2013-12-18",47,"017988",,"3","5","0","1",,"2","073","-","Y",,0,0,,,0,,,,"Y",1,"A","-",22350,,"N","A","H","-","C","D","0","Y","A","01",1,0,0,0,0,0,0,0,0,"-","-","LAGUNA NIGUEL","ORANGE","CA",-117.70176,33.56875
"6347027",-117.619822077,33.5197,2013,"3000","3","1","2","03",0,1,"A",,,"Y",,,1200,12,"F","A","A","RT 74","ANTONIO PKWY",0,,"Y","2014-05-20",9690,"2013-12-23",1150,"014919",,"1","9","0","1",,"1","074","-","Y",,0,0,,,0,,,,"N",1,"A","-",22350,,"N","A","H","-","A","A","0","Y","C","02",1,0,0,0,0,0,0,0,1,"-","-","UNINCORPORATED","ORANGE","CA",-117.61959,33.51998
"6348774",-118.010674869,33.8561,2013,"3003","3","1","2","03",0,3,"A",,,"Y",,,900,12,"C","C","A","RT 91","KNOTT AV",200,"E","N","2014-05-16",9670,"2013-12-16",725,"16199",,"1","5","0","1",,"2","091","-","Y",,0,0,,,0,,,,"Y",4,"A","-",22350,,"N","A","H","-","A","D","0","Y","C","02",1,0,2,0,0,0,0,0,1,"-","-","BUENA PARK","ORANGE","CA",-118.01079,33.85608
"6348808",-117.91761401,33.7452,2013,"3019","0","4","2","11",0,1,"A","Y",,,,,2100,12,"B","B","D","WEST 1ST ST","BEWLEY ST",100,"E","N","2014-05-19",3019,"2013-12-26",1922,"3303","WE","5","7","0","0",,"0","001","-","N",,0,0,,,0,,,,"N",2,"A","-",21954,"A","N","A","H","-","C","D","0","Y","N","60",1,0,0,0,1,0,0,0,0,"-","-","SANTA ANA","ORANGE","CA",0,0
"6348811",-117.90772564,33.7165,2013,"3019","0","5","2","03",0,1,"A","Y",,,,,2100,12,"A","B","C","PENDLETON AV","FAIRVIEW ST",60,"E","N","2014-05-19",3019,"2013-12-27",2031,"3265","SC","5","7","0","0",,"0","004","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"F","A","H","-","C","D","0","Y","-","99",1,0,0,0,1,0,0,0,0,"-","-","SANTA ANA","ORANGE","CA",0,0
"6348871",-117.877622164,33.7455,2013,"3019","0","3","2","00",0,1,"A",,"Y",,,,1800,12,"C","G","A","1ST ST","OLIVE ST",0,"W","N","2014-05-19",3019,"2013-12-18",1730,"3151","NE","5","7","0","0",,"0","002","-","N",,0,0,,,0,,,,"N",2,"D","-",0,,"F","-","-","-","-","D","0","Y","-","-",1,0,0,0,0,0,1,0,0,"-","-","SANTA ANA","ORANGE","CA",0,0
"6349697",-118.058458437,33.8032,2013,"3013","0","3","2","01",0,3,"A",,,,"Y",,2100,11,"B","E","A","KATELLA AV","NOEL ST",129,"E","N","2014-05-05",3013,"2013-11-27",2050,"176",,"5","3","0","0",,"0",,"-","N",,0,0,,,0,,,,"Y",2,"A","-",23152,"A","N","A","H","-","-","D","0","Y","D","22",1,0,2,0,0,0,0,0,0,"-","-","LOS ALAMITOS","ORANGE","CA",0,0
